Dish Name,Image URL
Veg Samosa,https://www.fbgcdn.com/pictures/ceef8e20-ea16-4cd1-95f9-a3e0a0f84c94_d3.jpg
Samosa Chat,https://www.fbgcdn.com/pictures/9fce4482-2bd4-4272-86ab-3694868649a7_d3.jpg
Mixed Veggie Pakoras - 8 pcs,https://www.fbgcdn.com/pictures/e41c04f8-7387-4578-bbd3-7db79e710feb_d3.jpg
Gobi Manchurian Dry,https://www.fbgcdn.com/pictures/8b1ad240-9362-4e87-bf66-ed2ec4496750_d3.jpg
Gobi 65,https://www.fbgcdn.com/pictures/e759db9f-8488-429b-9034-27868ff3acbf_d3.jpg
Gobi Chilli,https://www.fbgcdn.com/pictures/e245cc20-7ee3-4d24-869a-ebf194c2b481_d3.jpg
Aloo Chilli,https://www.fbgcdn.com/pictures/5c0afff5-3f44-4f99-84cb-7fc2eb75fbea_d3.jpg
Potatoes 65 (Aloo 65),
Everest Special Gobi Coconut,
Paneer Chilli,https://www.fbgcdn.com/pictures/eec863c3-74f5-4433-b489-2103ccff3407_d3.jpg
Paneer Pakoras,https://www.fbgcdn.com/pictures/5e0c12fc-f671-48d2-9423-f8d03fd3a332_d3.jpg
Paneer 65,
Paneer Manchurian,
Mushroom 65,https://www.fbgcdn.com/pictures/f4dd6cf8-12b1-40c9-bb66-ba8807b7ee37_d3.jpg
Mushroom Chilli,https://www.fbgcdn.com/pictures/29cf555e-4ffb-4d60-8edd-3efa7d9e3ca1_d3.jpg
Chicken Manchurian Dry,https://www.fbgcdn.com/pictures/8550dc0f-d6af-48f8-b0da-122ee5e84efa_d3.jpg
Chicken Manchurian,https://www.fbgcdn.com/pictures/0c9a5d71-98aa-4fa7-9bb1-6fb918994ca9_d3.jpg
Chicken Pepper Fry,https://www.fbgcdn.com/pictures/1b1c3662-202e-4ac3-936f-ff62f65c4153_d3.jpg
Chicken Lollipop,https://www.fbgcdn.com/pictures/a9e0f2d4-4ea3-42be-b90b-e5f954b040fc_d3.jpg
Chicken Pakora,
Chilli Chicken,
Chicken 65,https://www.fbgcdn.com/pictures/35a42cdc-8163-4b96-92a4-379c7165d86f_d3.jpg
Soya Chaap 65,https://www.fbgcdn.com/pictures/8a208201-d18f-49c8-951f-b3cf5f66ad82_d3.jpg
Chilli Fish,https://www.fbgcdn.com/pictures/01ae57e7-d06b-4b1f-8e37-b9dfef5d1888_d3.jpg
Fish 65,https://www.fbgcdn.com/pictures/40285466-1749-44cb-9e71-58f319b1caa0_d3.jpg
Fish Pakoras,https://www.fbgcdn.com/pictures/877bc97d-0e15-4f05-95ad-d9c2ade88837_d3.jpg
Fish Fry Boneless,https://www.fbgcdn.com/pictures/02801d22-31dc-4e51-9d2e-6c2ceaba9888_d3.jpg
Shrimp Chilli,
Veg Hot & Sour Soup,
Chicken Hot & Sour Soup,
Cream of Broccoli Soup,https://www.fbgcdn.com/pictures/837f4f67-dfe5-43f5-8bb6-f7edc558b4c5_d3.jpg
Cream of Spinach Soup,https://www.fbgcdn.com/pictures/7579cd3a-8cd1-4dbd-9b64-2480a7cdba2d_d3.jpg
Tomato Soup,https://www.fbgcdn.com/pictures/4d9785d0-c983-48bd-b097-0bfe3f6ed693_d3.jpg
Sweet Corn Soup,
Dal Soup (Vegan),
Onion Lemon Chilli,
Dal Makhani,https://www.fbgcdn.com/pictures/7d574d42-6561-489c-9b07-a41bdb53ed01_d3.jpg
Chana Masala,https://www.fbgcdn.com/pictures/6ab28fbc-2e1c-47f7-b753-ad0e1af0f013_d3.jpg
Aloo Gobi,https://www.fbgcdn.com/pictures/8777d59c-5b22-4a86-9a4b-8dcf9e77606e_d3.jpg
Baigan Bharta,
Aloo Mutter,https://www.fbgcdn.com/pictures/00b037e7-926d-4139-8510-67ad641903fe_d3.jpg
Mixed Vegetable Curry,https://www.fbgcdn.com/pictures/157ba241-ceaf-4756-adf5-78c7c6be1f84_d3.jpg
Everest Special Vegetable,https://www.fbgcdn.com/pictures/740ea51d-01d5-404e-989c-9fa997462733_d3.jpg
Kaju Mutter,https://www.fbgcdn.com/pictures/17788480-ce5a-4387-89f5-b2e73e346a12_d3.jpg
Malai Kofta,https://www.fbgcdn.com/pictures/a5c131b6-8aba-4cc3-a667-08d6e6b748ec_d3.jpg
Channa Vindaloo,
Aloo Vindaloo,
Paneer Tikka Masala,https://www.fbgcdn.com/pictures/eac936c3-0231-4a83-a95b-919c8555304b_d3.jpg
Palak Paneer,https://www.fbgcdn.com/pictures/ce7c89cb-04dc-43cc-845a-f0ee39e16364_d3.jpg
Paneer Butter Masala,https://www.fbgcdn.com/pictures/8dd148b3-8028-4b8f-a375-a62265fc2177_d3.jpg
Paneer Saag,https://www.fbgcdn.com/pictures/2567dd3e-c9ad-4aea-ae25-dce95abbf6eb_d3.jpg
Everest Special Paneer,
Chettinad Chicken,https://www.fbgcdn.com/pictures/ccfb7ffa-3210-4bb5-adb5-10fa63013063_d3.jpg
Chicken Tikka Masala,https://www.fbgcdn.com/pictures/8fe3f636-29cc-4b26-b132-eaf7fe35cb86_d3.jpg
Kadai Chicken,
Butter Chicken,https://www.fbgcdn.com/pictures/a29d7903-29d6-4124-8efd-c1dde9f8e185_d3.jpg
Chicken Curry,https://www.fbgcdn.com/pictures/547ce2a7-863e-4b2d-9c4a-f419fc22c7e9_d3.jpg
Everest Special Chicken,https://www.fbgcdn.com/pictures/a32c3f49-5d45-43a1-bbb5-c607d55e8bc5_d3.jpg
Tawa Chicken,https://www.fbgcdn.com/pictures/a2c1c67c-59c3-4b3b-8d03-80cd9cbfc9bb_d3.jpg
Goan Shrimp Curry,https://www.fbgcdn.com/pictures/c93a8f9f-563c-49ec-abd4-1a96e8c4f5d8_d3.jpg
Shrimp Vindaloo,https://www.fbgcdn.com/pictures/03d2950a-eb22-4de8-aab7-d0b9489e24cf_d3.jpg
Shrimp Curry,https://www.fbgcdn.com/pictures/62e9b21b-a4ba-4d1c-8b7d-4c63ea19c212_d3.jpg
Shrimp Biryani,https://www.fbgcdn.com/pictures/1b4d806c-22f3-45cb-a12c-8436c60c33d9_d3.jpg
Veg Biryani,https://www.fbgcdn.com/pictures/565eb08d-547a-45cd-8f73-9f3f2788ac27_d3.jpg
Chicken Biryani,https://www.fbgcdn.com/pictures/425d3a12-4d9d-4c58-9026-581b0c9f2bc6_d3.jpg
Lamb Curry,https://www.fbgcdn.com/pictures/5a4d56ec-d12d-4dbe-b3f8-708da52c1290_d3.jpg
